"","PID","location","age_pid","loc","age.PIDr","age_adint","sex.BIO","age.BIO","weight","height_stand","height","part_i","part_ii","part_iii","part_i_pr","part_i_te","part_ii_pr","part_ii_te","part_iii_pr","part_iii_te","knox_PR_I","demo_speed_knox","back_noise_knox","beads_PR_I","uncover_time_error_beads","skip_cor_beads","back_noise_beads","cmb_schl.Psurv","cmb_grade.Psurv","cmb_howoft.Psurv","10a_schl_go_often_other","yrs_school","age_yr","sex","AGE","HEIGHT","height2","HTKS_all","HTKS_i_ii","knox_total","beads_total","age_yr2","edu_exposure","bmi","knox_total_z","beads_total_z","HTKS_all_c","HTKS_i_ii_c","age_yr_c","yrs_school_c","bmi_c"
"50","TDY4","Brazil",11,"cbm",,,"f",10,47.8,,"152",19,20,18,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","5 ano","Everyday that is open",,8,11,"f",10,152,152,57,39,10,8,11,7,20.6890581717451,1.1346252262918,2.0197753486357,7.13084112149533,3.22429906542056,0.32803738317757,0.738317757009346,3.8187822365907
"51","F99D","Brazil",11.1,"cbm",,,"m",11,34.2,,"143",20,20,11,6,"10",5,"10",6,"10","1","0","1","1","0","0","0","y","5 ano","Everyday that is open",,8,11.1,"m",11,143,143,51,40,9,1,11.1,7,16.7245342070517,0.77859912889232,-0.940717285665943,1.13084112149533,4.22429906542056,0.428037383177569,0.738317757009346,-0.14574172810276
"52","CY9J","Brazil",11.2,"cbm",,,"f",11,35,,"149",19,18,15,6,"10",5,"10",6,"10","1","1","0","1","0","0","0","y","5 ano","Everyday that is open",,6,11.2,"f",11,149,149,52,37,0,9,11.2,7,15.7650556281249,-2.425635747703,2.44270286782165,2.13084112149533,1.22429906542056,0.528037383177569,0.738317757009346,-1.1052203070296
"53","EAQT","Brazil",11.2,"cbm",,,"m",11,38.1,,"151",19,18,17,6,"10",5,"10",6,"10","1",,,"1",,,,"y","5 ano","Everyday that is open",,,11.2,"m",11,151,151,54,37,0,5,11.2,7,16.7097934301127,-2.425635747703,0.750992791077854,4.13084112149533,1.22429906542056,0.528037383177569,0.738317757009346,-0.160482505041735
"54","XRKV","Brazil",11.2,"cbm",,,"f",11,26.8,,"139",19,17,20,6,"10",5,"10",6,"10","1","0","0","1","0","0","0","y","5 ano","Everyday that is open",,4.5,11.2,"f",11,139,139,56,36,6,7,11.2,7,13.8709176543657,-0.289479163306119,1.59684782944975,6.13084112149533,0.22429906542056,0.528037383177569,0.738317757009346,-2.99935828078874
"55","D3DB","Brazil",12,"ug",,,"f",12,63.7,,"165",19,14,8,6,"10",5,"10",6,"10","3","0","0","1","0","0","0","y","6 ano","Everyday that is open",,10,12,"f",12,165,165,41,33,5,1,12,8,23.3976124885216,-0.645505260705599,-0.940717285665943,-8.86915887850467,-2.77570093457944,1.32803738317757,1.73831775700935,6.52733655336713
"56","K7QD","Brazil",12.1,"ug",,,"f",12,41.2,,"157",16,14,17,6,"10",5,"10",6,"10","1",,,"1",,,,"y","6 ano","Everyday that is open",,9,12.1,"f",12,157,157,47,30,8,3,12.1,8,16.7146740232869,0.42257303149284,-0.0948622472940447,-2.86915887850467,-5.77570093457944,1.42803738317757,1.73831775700935,-0.155601911867503
"57","GHASP001","Ghana",,,11.9,,"m",12,31.6,134.62,,20,20,16,6,"10",5,"10",6,"10","1",,,"1","0","0","0",,,,,10,11.9,"m",11.9,134.62,134.62,56,40,12,2,11.9,10,17.4368451264492,1.84667742109076,-0.517789766479994,6.13084112149533,4.22429906542056,1.22803738317757,3.73831775700935,0.566569191294786
"58","GHASP002","Ghana",,,11,,"m",11,28.4,140.97,,20,18,20,10,"10",9,"10",19,"10","2",,,"1","1","0","0",,,,,6,11,"m",11,140.97,140.97,58,38,9,5,11,9,14.2910763867141,0.77859912889232,0.750992791077854,8.13084112149533,2.22429906542056,0.32803738317757,2.73831775700935,-2.57919954844036
"59","GHASP006","Ghana",,,12,,"f",12,40.1,152.4,,19,18,11,8,"10",6,"11",7,"10","1",,,"1","0","0","0",,,,,10,12,"f",12,152.4,152.4,48,37,8,3,12,10,17.2653123084024,0.42257303149284,-0.0948622472940447,-1.86915887850467,1.22429906542056,1.32803738317757,3.73831775700935,0.39503637324794
"60","GHASP008","Ghana",,,10.3,,"m",10,24.3,125.73,,20,8,19,8,"10",9,"10",21,"12","1",,,"1","1","0","0",,,,,,10.3,"m",10.3,125.73,125.73,47,28,5,5,10.3,7,15.3719315703094,-0.645505260705599,0.750992791077854,-2.86915887850467,-7.77570093457944,-0.371962616822429,0.738317757009346,-1.49834436484503
"61","GHASP009","Ghana",,,10,,"m",10,28.8,144.78,,4,20,16,,"10",,"10",,"10","1",,,"1","1","0","0",,,,,8,10,"m",10,144.78,144.78,40,24,6,2,10,8,13.739639667645,-0.289479163306119,-0.517789766479994,-9.86915887850467,-11.7757009345794,-0.67196261682243,1.73831775700935,-3.13063626750947
